"tag_id","bird_id","life_stage","bird_mass","bird_sex","comments"
8011,"Affenberg1 + A3W08 (eobs 8011)","nestling",4000,"m","Juvenile from Feldscheune Nord, Affenberg Salem"
8023,"Fly A4N72 (eobs 8023)","nestling",3500,"f","Chick from Affenberg Salem, Grüner Pfahlhorst"
8001,"Wagshurst1 + A6V68 (eobs 8001)","Juvenile",NA,"m","single juv in Nest ""Wagshurst Kamin Ziegelei"""
8000,"Wagshurst2 + A6V70 (eobs 8000)","Juvenile",NA,"f","youngest of 3 juv in nest ""Wagshurst Schule Kamin Kamera"": A6V70, A6V71, A6V72"
8005,"Wagshurst3 + A6V71 (eobs 8005)","Juvenile",NA,"m","oldest of 3 juv in nest ""Wagshurst Schule Kamin Kamera"": A6V70, A6V71, A6V72"
8009,"Wagshurst4 + A6V72 (eobs 8009)","Juvenile",NA,"f","second oldest of 3 juv in nest ""Wagshurst Schule Kamin Kamera"": A6V70, A6V71, A6V72"
8014,"Wagshurst5 + A6V73 (eobs 8014)","Juvenile",NA,"f","oldest of 3 juv in nest ""Wagshurst Schule Kamin"". Only this one tagged."
8029,"MuffineJunior1 + A2V05 (eobs 8029)","nestling",2800,"f","foster stork chick in Beuren Kirchstraße, adopted by tag stork Muffine (AN922): foster siblings A2V28 & A2V29"
8027,"MuffineJunior2 + A2V28 (eobs 8027)","nestling",3000,"f","smaller of 2 chicks & and foster chick in Beuren Kirchstraße, offspring of Muffine(AN922): foster sibling A2V05 & A2V28 & A2V29"
8030,"MuffineJunior3 A2V29 (eobs 8030)","nestling",3000,"f","larger of 2 chicks & and foster chick in Beuren Kirchstraße, offspring of Muffine(AN922): foster sibling A2V05 & A2V28 & A2V29"
8043,"Willi + A6R05 (eobs 8043)","Juvenile",NA,"m","largest of 3 chicks in nest ""Huttenheim Gärtnerei"": A6R03, A6R05, A6R06 (+ 1 juv died 2020-05-17)"
8044,"Felix + A6R06 (eobs 8044)","Juvenile",NA,"m","second largest of 3 chicks in nest ""Huttenheim Gärtnerei"": A6R03, A6R05, A6R06 (+ 1 juv died 2020-05-17)"
8045,"Lina + A6R03 (eobs 8045)","nestling",4050,"f","smallest of 3 chicks in nest ""Huttenheim Gärtnerei"": A6R03, A6R05, A6R06 (+ 1 juv died 2020-05-17)"
7992,"Walther + A4P77 (eobs 7992)","Juvenile",NA,"m","nest ""Graben-Neudorf Festhalle"", 2 chicks in nest, only this one tagged."
7993,"Ute A4P80 (eobs 7993)","Juvenile",NA,"f","younger of 2 chicks in nest ""Graben-Neudorf Kleintieranlage Mast"", onl this one tagged."
8047,"Abeba + A8V36 (eobs 8047)","Juvenile",NA,"f","Second largest of 3 chicks in nest ""Oberhausen (Rheinhausen) Bauhof"": A8V36, A8V37 + 1 untagged chick."
8046,"Oberhausen2 A8V37 + (eobs 8046)","Juvenile",NA,"f","largest of 3 chicks in nest ""Oberhausen (Rheinhausen) Bauhof"": A8V36, A8V37 + 1 untagged chick."
8048,"Oberhausen Vogelpark1 + A3L28 (eobs 8048)","Juvenile",NA,"m","second largest of 3 chicks in nest ""Oberhausen Vogelpark Weide Parkplatz"": A3L28, A3L29 + 1 untagged."
8049,"Lukas A3L26 (eobs 8049)","Juvenile",NA,"m","largest of 3 chicks in nest ""Oberhausen Vogelpark Weide Parkplatz"": A3L28, A3L29 + 1 untagged."
8050,"Chris + A8V35 (eobs 8050)","Juvenile",NA,"m","last surviving chick of 3 in nest ""Reilingen Kieselwiesen"" (+ 1 egg)"
8002,"Carlo + A2V53 (eobs 8002)","nestling",3500,"m","largest of 3 chick in Wahlwies Schweizerhorst: A2V53, A2V55, A2V54"
8006,"Emma + A2V55 (eobs 8006)","nestling",3500,"f","smallest of 3 chick in Wahlwies Schweizerhorst: A2V53, A2V55, A2V54"
8035,"Peter A2V57 (eobs 8035)","nestling",3000,"m","largest of 2 chick in Wahlwies Pestalozzi: A2V57, A2V56"
8036,"Lilli + A2V54 (eobs 8036)","nestling",3500,"f","second of 3 chick in Wahlwies Schweizerhorst: A2V53, A2V55, A2V54"
8031,"Lisa + A2V56 (eobs 8031)","nestling",2500,"f","smallest of 2 chick in Wahlwies Pestalozzi: A2V57, A2V56"
7996,"Mario A3R62 (eobs 7996)","Juvenile",NA,"m","largest of 3 chicks in nest ""Oos Schule"": A3R62, A3R63, A3R64"
7999,"Alisa + A3R64 (eobs 7999)","Juvenile",NA,"m","second largest of 3 chicks in nest ""Oos Schule"": A3R62, A3R63, A3R64"
8051,"Steffo A3R63 (eobs 8051)","Juvenile",NA,"m","smallest of 3 chicks in nest ""Oos Schule"": A3R62, A3R63, A3R64"
8016,"Petra + A9100 (eobs 8016)","Juvenile",NA,"f","larger of 2 chicks in nest ""Muggensturm Mast hinter Rathaus"": A9100, A3R51."
8038,"Hans + A3R51 (eobs 8038)","Juvenile",NA,NA,"smaller of 2 chicks in nest ""Muggensturm Mast hinter Rathaus"": A9100, A3R51."
8018,"Jakob + A5W50 (eobs 8018)","nestling",3000,"m","largest chick of 3 chicks in Ostrach Hirsch nest: A5W50, A5W51,A5W52"
8021,"Thea + A5W52 (eobs 8021)","nestling",3250,"f","middle chick of 3 chicks in Ostrach Hirsch nest: A5W50, A5W51,A5W52"
8025,"Clara + A5W51 (eobs 8025)","nestling",2500,"f","smallest chick of 3 chicks in Ostrach Hirsch nest: A5W50, A5W51,A5W52"
8013,"Jonathan A5W55 (eobs 8013)","nestling",3000,"m","largest chick of 2 chicks in Ostrach Rathaus nest: A5W55, A5W56"
8024,"Hanna + A5W56 (eobs 8024)","nestling",3000,"f","smallest chick of 2 chicks in Ostrach Rathaus nest: A5W55, A5W56"
8004,"Sausewind2 + A3W58 (eobs 8004)","nestling",4000,"m","Affenberg, Ecke Schenke"
8007,"Kassanova A6W33 (eobs 8007)","nestling",4100,"m","one of 4 chicks from Kiosk nest in Affenberg: A6W31, A6W32, A6W33, A6W34"
8019,"Sausewind + A6W34 (eobs 8019)","nestling",3500,"f","one of 4 chicks from Kiosk nest in Affenberg: A6W31, A6W32, A6W33, A6W34"
7028,"Pascal + A3V03 (eobs 7028)","Juvenile",NA,"f","smallest of 2 chick in Beuren Beuronstraße, offspring of Mirabell (AN910) & Sierit (AN858): A3V02, A3V03"
8012,"Niklas + A3V02 (eobs 8012)","Juvenile",NA,"m","largest of 2 chick in Beuren Beuronstraße, offspring of Mirabell (AN910) & Sierit (AN858): A3V02, A3V03"
7977,"Hans Frölich + A1X35 (eobs 7977)","Juvenile",NA,"m","3 chicks tagged from same nest in Langenau: A1X35, A1A82, A1X38."
8000,"Langenau2 + A1A82 (eobs 8000)",NA,NA,"f","3 chicks tagged from same nest in Langenau: A1X35, A1A82, A1X38."
8002,"Track + A1X38 (eobs 8002)",NA,NA,"m","3 chicks tagged from same nest in Langenau: A1X35, A1A82, A1X38."
8025,"Konstanze AAR00 (eobs 8025)",NA,NA,"f","3 chicks tagged from same nest in Langenau: AAR00, AAR01, AAR02."
8031,"Maxcine AAR01 (eobs 8031)",NA,NA,"f","3 chicks tagged from same nest in Langenau: AAR00, AAR01, AAR02."
8036,"Langenau6 + AAR02 (eobs 8036)",NA,NA,"m",NA
8042,"Charly + AAR03 (eobs 8042)",NA,NA,"m","singe chick in nest in Langenau"
8020,"Sunny + AAM85 (eobs 8020)","nestling",4000,"m","Largest of 3 chicks from Kassenhorst Affenberg, Sibling of AAM83, AAM84"
7974,"Fuego + A6Y44 (eobs 7974)","nestling",3000,"f","Nest in Aachweg, Beuren an der Aach, Smaller chick of 2"
8034,"Pepe + A6Y45 (eobs 8034)","nestling",3500,"m","Nest in Aachweg, Beuron an der Aach, Larger of 2 chicks"
7998,"Wendelin A6Y46 (eobs 7998)","nestling",3500,"m","Single chick Strommast Wendelinstr. Beuren an der Aach"
7964,"Krabat + A6Y43 (eobs 7964)","nestling",2500,"f","single chick in Schlatt unter Krähen, misses feather on left wing"
8037,"Wilma A6Y47 (eobs 8037)","nestling",3000,"f","one of two chicks in Buronstr., larger chick, offspring of Sierit"
8015,"Fred + A6Y48 (eobs 8015)","nestling",3000,"m","one of two chicks in Buronstr., samller chick, offspring of Sierit"
7957,"Trenk + A6Y50 (eobs 7957)","nestling",3500,"m","middle of 3 chicks, Masthorst Rathaus, Beuren an der Aach"
7968,"Thekla A6Y51 (eobs 7968)","nestling",3500,"f","Largest of 3 chicks, Masthorst Rathaus, Beuren an der Aach"
7966,"Christian A6Y52 (eobs 7966)","nestling",3500,"m","One of three chicks (two untagged), Tanne Ulmerstr. Beuren an der Aach"
7979,"Manuel A2Z69 (eobs 7979)","nestling",3500,"m","largest of 2 chicks, Bräuhaus, Zußdorf"
8033,"Zottelkralle + A2Z70 (eobs 8033)","nestling",3000,"f","smallest of two chicks, Bräuhaus Zußdorf"
7970,"Uli + A2Z73 (eobs 7970)","nestling",2500,"m","smallest of two chicks, Zocklesteige, Zußdorf"
7995,"Angelo A2Z72 (eobs 7995)","nestling",3250,"m","largest of two chicks, Zocklersteige, Zußdorf"
