imdb_url,title,director,year,imdb_rating,genre_1,genre_2,runtime_hrs,runtime_min,budget,gross_worldwide,contributor_alias,dsst_section,contributor_rating,notes
https://www.imdb.com/find/?q=Airplane!&ref_=nv_sr_sm,Airplane!,Jim Abrahams,1980,7.7,comedy,adventure,1,28,"35,000,000.00","83,455,547.00",Tommy,12:00:00 PM,9.4,
https://www.imdb.com/title/tt0038650/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_it%27s%2520a%2520wonderful%2520life,It's a Wonderful Life,Frank Capra,1946,8.6,seasonal,family,2,10,"3,180,000.00","3,180,000.00",kay,9:00:00 AM,7.5,
https://www.imdb.com/title/tt0046183/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_peter%2520pan,Peter Pan,Clyde Geronimi,1953,7.3,animation,family,1,17,"4,000,000.00","87,405,539.00",ashley,10:30:00 AM,8.9,
https://www.imdb.com/title/tt0056058/?ref_=chttp_t_44,Harakiki,Masaki Kobayashi,1962,8.6,drama,mystery,2,13,,"15,222.00",Keyli,9:00:00 AM,3,
https://www.imdb.com/title/tt0060028/?ref_=fn_al_tt_1,Despicable Me,Pierre Coffin,2010,7.6,animation,family,1,35,"69,000,000.00","544,174,973.00",kay,9:00:00 AM,8.2,
https://www.imdb.com/title/tt0061852/?ref_=hm_tpks_tt_t_1_pd_tp1_pbr_ic,The Jungle Book,Wolfgang Reitherman,1967,7.6,animation,family,1,18,"4,000,000.00","205,843,612.00",ashley,10:30:00 AM,7,
https://www.imdb.com/title/tt0066817/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_bedkn,Bedknobs and Broomsticks,Robert Stevenson,1971,7,animation,adventure,1,57,"20,000,000.00",,gigi,9:00:00 AM,7,
https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,The Godfather,Francis Ford Coppella,1972,9.2,crime,drama,2,55,"6,000,000.00","250,342,198.00",nomar,9:00:00 AM,9,
https://www.imdb.com/title/tt0081505/?ref_=fn_al_tt_1,The Shining,Stanley Kubrick,1980,8.4,horror,drama,2,26,"19,000,000.00","47,548,151.00",Tommy,12:00:00 PM,9,
https://www.imdb.com/title/tt0088323/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_The%2520never%2520ending%2520story,The Never Ending Story,Wolfgang Petersen,1984,7.3,adventure,fantasy,1,42,"27,000,000.00","20,288,595.00",kay,9:00:00 AM,6.7,
https://www.imdb.com/title/tt0091419/,Little Shop of Horrors,Frank Oz,1986,7.1,musical,horror,1,34,"25,000,000.00","39,063,291.00",kayla,10:30:00 AM,7,
